CustomerID,Recency,Frequency,Monetary
12346.0,529,10,304.3
12347.0,2,8,3448.6
12348.0,249,4,312.36
12349.0,19,3,2597.12
12350.0,310,1,294.4
12351.0,375,1,288.18
12352.0,36,9,1536.1
12353.0,204,2,307.46
12354.0,232,1,763.03
12355.0,214,2,497.71
12356.0,246,5,1135.47
12357.0,33,2,3402.67
12358.0,2,5,703.17
12359.0,58,10,5280.35
12360.0,52,6,3056.48
12361.0,287,4,451.25
12362.0,3,10,4196.83
12363.0,110,2,398.13
12364.0,8,3,1117.62
12365.0,291,1,307.94
12367.0,4,1,138.3
12368.0,628,1,184.5
12369.0,413,3,1274.78
12370.0,51,7,2450.19
12371.0,60,4,2869.9
12372.0,72,3,723.16
12373.0,311,3,736.82
12374.0,25,3,1073.12
12375.0,11,2,225.10000000000002
12376.0,390,2,135.5
12377.0,315,4,2495.52
12378.0,130,2,4427.46
12379.0,82,4,1290.45
12380.0,22,8,3971.27
12381.0,5,5,1276.3600000000001
12383.0,185,5,1166.64
12384.0,29,2,348.82
12385.0,379,1,1084.31
12386.0,367,1,142.3
12387.0,415,1,110.03999999999999
12388.0,16,8,2209.06
12389.0,403,3,624.74
12390.0,80,1,425.29
12391.0,22,5,1988.84
12392.0,591,1,55.35
12393.0,72,6,1874.1200000000001
12394.0,217,1,331.18
12395.0,19,15,3173.84
12396.0,674,1,895.08
12397.0,36,2,1807.71
12398.0,46,1,1337.1399999999999
12399.0,119,7,1266.84
12400.0,414,1,205.25
12401.0,303,1,32.85
12402.0,323,6,1123.37
12403.0,50,1,9.9
12405.0,149,1,767.02
12406.0,22,5,2346.56
12407.0,50,5,928.16
12408.0,33,8,2141.66
12409.0,79,5,1041.09
12410.0,309,3,605.91
12411.0,410,1,280.40000000000003
12412.0,75,6,1467.85
12413.0,67,4,710.77
12414.0,217,4,266.34
12415.0,25,13,1768.82
12416.0,657,1,202.56
12417.0,3,20,4277.11
12418.0,113,4,1142.44
12419.0,386,2,273.92
12420.0,64,1,390.7
12421.0,16,6,821.4
12422.0,96,12,2443.87
12423.0,1,10,2091.93
12424.0,163,4,1279.4
12425.0,78,2,1330.04
12426.0,195,2,1164.27
12427.0,22,3,395.15999999999997
12428.0,26,8,4206.43
12429.0,9,8,1879.47
12430.0,43,1,129.0
12431.0,60,21,5942.59
12432.0,43,4,1238.17
12433.0,1,10,6717.98
12434.0,85,3,932.38
12435.0,397,3,423.43
12436.0,100,1,207.16000000000003
12437.0,2,38,8139.47
12438.0,14,2,1377.19
12439.0,683,2,1068.79
12440.0,462,2,407.84999999999997
12441.0,367,1,155.55
12442.0,3,1,144.06
12443.0,732,1,230.13
12444.0,21,5,2506.38
12445.0,22,2,378.98
12446.0,58,1,796.86
12447.0,243,1,404.78999999999996
12448.0,44,1,296.45
12449.0,22,5,3154.31
12450.0,156,5,592.2
12451.0,11,8,7185.44
12452.0,17,1,335.18
12453.0,134,1,705.09
12455.0,73,9,2996.17
12456.0,44,3,1727.32
12457.0,86,3,1188.85
12458.0,71,4,1284.14
12459.0,605,1,343.35
12460.0,456,1,236.95
12461.0,155,1,570.62
12462.0,19,2,695.3
12463.0,53,4,1153.99
12464.0,10,7,176.5
12465.0,17,2,621.49
12467.0,423,1,132.8
12468.0,188,5,1897.6
12469.0,523,1,1015.8000000000001
12470.0,690,1,181.75
